Afghanistan,93,0.1969
Afghanistan Mobile,937,0.1969
Afghanistan Mobile AWCC,9370,0.1703
Afghanistan Mobile Etisalat,9378,0.1709
Afghanistan Mobile MTN,9377,0.1882
Afghanistan Mobile Roshan,9372,0.1816
Afghanistan Mobile Roshan,9379,0.1816
Afghanistan Mobile Wasel,937500,0.1969
Afghanistan Mobile Wasel,937501,0.1969
Afghanistan Mobile Wasel,937502,0.1969
Afghanistan Mobile Wasel,937503,0.1969
Afghanistan Mobile Wasel,937504,0.1969
Albania,355,0.136
Albania Mobile AMC,35568,0.2498
Albania Mobile Eagle,35567,0.2478
Albania Mobile Plus,35566,0.2703
Albania Mobile Vodafone,35569,0.242
Albania Tirana,35543,0.1367
Albania Tirana,355422,0.1367
Albania Tirana,355423,0.1367
Albania Tirana,355424,0.1367
Algeria,213,0.05
Algeria Mobile,2136,0.3004
Algeria Mobile,2137,0.3004
Algeria Mobile,2139,0.3004
Algeria Mobile CAT,2131,0.0488
Algeria Mobile Mobilis,21366,0.3004
Algeria Mobile Mobilis,21369,0.3004
Algeria Mobile Orascom,21377,0.2951
Algeria Mobile Orascom,21378,0.2951
Algeria Mobile Orascom,21379,0.2951
Algeria Mobile Wataniya,2135,0.315
American Samoa,1684,0.0185
Andorra,376,0.0138
Andorra Mobile,3763,0.1188
Andorra Mobile,3764,0.1188
Andorra Mobile,3765,0.1188
Andorra Mobile,3766,0.1188
Angola,244,0.0785
Angola Mobile,2449,0.2249
Angola Mobile Movicel,24491,0.2249
Angola Mobile Unitel,24492,0.2249
Angola Mobile Unitel,24493,0.2249
Angola Mobile Unitel,24494,0.2249
Anguilla,1264,0.1937
Antigua,1268,0.1938
Argentina,54,0.0317
Argentina Buenos Aires,5411,0.0037
Argentina Mobile,549,0.1627
Armenia,374,0.193
Armenia  Nagorni Karabakh,37447,0.0812
Armenia Mobile,3745,0.1519
Armenia Mobile,3749,0.1519
Armenia Mobile Armen Tel,37491,0.193
Armenia Mobile Armen Tel,37496,0.193
Armenia Mobile Armen Tel,37499,0.193
Armenia Mobile K Tel,37477,0.1896
Armenia Mobile K Tel,37493,0.1896
Armenia Mobile K Tel,37494,0.1896
Armenia Mobile K Tel,37498,0.1896
Armenia Mobile Karabakh,37497,0.1218
Armenia Mobile Orange,37455,0.1862
Armenia Mobile Orange,37495,0.1862
Armenia Premium,37460,0.1519
Armenia Vandasor,374322,0.152
Armenia Yerevan,37410,0.151
Aruba,297,0.1764
Aruba Mobile,29756,0.1764
Aruba Mobile,29759,0.1764
Aruba Mobile,29766,0.1764
Aruba Mobile,29769,0.1764
Aruba Mobile,297600,0.1764
Aruba Mobile,297622,0.1764
Aruba Mobile,297995,0.1764
Aruba Mobile Digicel,29773,0.1764
Aruba Mobile Digicel,29774,0.1764
Aruba Mobile Digicel,297630,0.1764
Aruba Mobile Digicel,297640,0.1764
Aruba Mobile Digicel,297641,0.1764
Ascension,247,1.5604
Australia,61,2.04
AustrExtTerr,672,1.3872
Austria,43,0.1881
Azerbaijan,994,0.2561
Azerbaijan Baku,99412,0.1694
Azerbaijan Mobile,99444,0.2561
Azerbaijan Mobile Azercell,99450,0.2754
Azerbaijan Mobile Azercell,99451,0.2754
Azerbaijan Mobile Azerfon,99470,0.2804
